risk_probability,risk_class,osmid,shap_Lighting_high,shap_Visibility_high,shap_Connectivity_high,shap_Enclosure_high,shap_Land Use_high,shap_Transit Proximity_high,shap_Pedestrian Priority_high,shap_Lighting_low,shap_Visibility_low,shap_Connectivity_low,shap_Enclosure_low,shap_Land Use_low,shap_Transit Proximity_low,shap_Pedestrian Priority_low,shap_Lighting_medium,shap_Visibility_medium,shap_Connectivity_medium,shap_Enclosure_medium,shap_Land Use_medium,shap_Transit Proximity_medium,shap_Pedestrian Priority_medium
0.9587,medium,38770925,0.017332381619155804,0.21234649040042486,-0.17672841412651788,-0.11457031490974948,0.04121433211633091,-0.35565127825457404,0.18497735337208254,-0.015260732732994386,-0.2944614891945891,0.05029523063420027,0.009968968551054015,-0.07187680491883888,0.1567627206239741,-0.17860553876916394,-0.002071648886161896,0.08211499879416373,0.1264331834923172,0.10460134635869507,0.03066247280250753,0.1988885576305997,-0.006371814602918845
0.9997,medium,1242977853,0.013794767883309716,0.015768041746235823,-0.16228640952661494,-0.14104428402919084,0.11082479449773491,-0.23705741048223752,0.16789163045146327,-0.02004384043847049,-0.13931645103003493,0.08338272680482797,0.04481211356229442,-0.16228085218134033,0.08118043221520164,-0.2309117747378295,0.0062490725551612655,0.12354840928379936,0.07890368272178712,0.09623217046689647,0.051456057683605685,0.15587697826703595,0.06302014428636611
1.0,low,202052944,-0.19294742911860785,0.06715910846411977,0.0065932566142841735,-0.0010567823184091888,-0.08066861303410396,-0.08937580891770372,0.05792984260383864,0.7445671856750272,-0.15023488591059264,-0.02449393466890372,-0.02621916749694994,0.0825428641169569,0.12417828678563228,-0.09351799430767546,-0.551619756556419,0.0830757774464732,0.017900678054619694,0.02727594981535948,-0.0018742510828525152,-0.03480247786792836,0.03558815170383711
1.0,low,"[6272741, 1418274918]",-0.08242662503489774,-0.004641015719442581,-0.031207841621002076,0.006108106260183821,-0.016968502868760043,-0.055675482344236076,-0.047555064378427374,0.3356496521299455,-0.04579220283293345,0.07782241683666064,-0.03860626761156357,0.040120231982437395,0.1608076041209808,0.12682091956811414,-0.2532230270950477,0.05043321855237626,-0.0466145752156583,0.03249816135137977,-0.023151729113677317,-0.10513212177674484,-0.0792658551896868
1.0,low,202052944,-0.20970706597375058,0.08143822343174353,0.005136896822693715,0.03731254989135357,-0.04002490018150049,-0.15859550119630808,0.05207337149918628,0.800336449220087,-0.14445351119117053,-0.021267200163286502,-0.055638832279346614,0.017965565408351643,0.13398683110756077,-0.07410694790855503,-0.5906293832463364,0.06301528775942691,0.016130303340592626,0.018326282387993068,0.022059334773148878,0.0246086700887472,0.022033576409368753
1.0,low,202052944,-0.3146630385554879,0.06760180407136236,0.010362368324329579,0.03740908538500315,0.02883801789342794,-0.13113906638855857,0.06922440356334152,0.8303025045952981,-0.112725163164273,-0.020273737744843902,-0.04665211556336324,-0.045760850428058455,0.1284377997626954,-0.07650608326381363,-0.5156394660398103,0.045123359092910785,0.009911369420514394,0.009243030178360104,0.01692283253463048,0.0027012666258631767,0.007281679700472158
1.0,low,7742058,-0.1147377991746585,0.034782361938472284,-0.010396578181031518,0.032162570752265425,-0.023370073380712283,-0.13831616857234896,-0.012490739088568603,0.4538550467559429,-0.14373753945187684,-0.005209547118041528,-0.10530629729099594,0.05753029545300625,0.37392103622172296,0.0257693594665267,-0.339117247581284,0.10895517751340444,0.015606125299073174,0.07314372653873033,-0.03416022207229406,-0.2356048676493741,-0.013278620377958288
1.0,low,202052944,-0.20970706597375058,0.08143822343174353,0.005136896822693715,0.03731254989135357,-0.04002490018150049,-0.15859550119630808,0.05207337149918628,0.800336449220087,-0.14445351119117053,-0.021267200163286502,-0.055638832279346614,0.017965565408351643,0.13398683110756077,-0.07410694790855503,-0.5906293832463364,0.06301528775942691,0.016130303340592626,0.018326282387993068,0.022059334773148878,0.0246086700887472,0.022033576409368753
1.0,medium,7742058,-0.017976453743898953,0.03507108955280204,-0.01345241314830237,-0.012676684560465884,-0.07379746110549568,-0.1196987221431995,-0.029835764096163807,0.009479450551339696,-0.2878251291524772,-0.005150719549429483,-0.056924815151949734,0.061546316840955254,-0.07310605796004498,0.008803581195533275,0.008497003192559457,0.25275403959967513,0.01860313269773169,0.0696014997124155,0.012251144264540183,0.19280478010324426,0.021032182900630324
0.782,low,591934082,-0.06390427804677541,-0.01299233979476474,0.007872860207819425,-0.05826061974640574,-0.08326404515835699,0.0009501103146114611,-0.02276811348269982,0.2633079586203787,-0.11023824001416498,-0.036006495677239736,0.1301937234056674,0.2765362327724899,-0.13441920022683004,0.04949574844426753,-0.199403680573603,0.12323057980892965,0.02813363546942011,-0.07193310365926205,-0.19327218761413303,0.1334690899122183,-0.026727634961567943
