risk_probability,risk_class,osmid,shap_Lighting_high,shap_Visibility_high,shap_Connectivity_high,shap_Enclosure_high,shap_Land Use_high,shap_Transit Proximity_high,shap_Lighting_low,shap_Visibility_low,shap_Connectivity_low,shap_Enclosure_low,shap_Land Use_low,shap_Transit Proximity_low,shap_Lighting_medium,shap_Visibility_medium,shap_Connectivity_medium,shap_Enclosure_medium,shap_Land Use_medium,shap_Transit Proximity_medium
0.9995,low,"[8380803, 309051278]",1.5326628854950286e-13,-0.17762634851557596,0.12753706441051962,-0.3006976889335304,-0.07212993847060792,-0.21785302407072585,-0.0010494724657169954,0.19644316522095817,-0.16682653972136838,0.27464146237655723,0.17521284590719358,0.3062513102427918,0.001049472465563684,-0.018816816705382395,0.039289475310848684,0.026056226556972734,-0.10308290743658573,-0.08839828617206612
0.8934,high,246638753,0.006806401770396764,-0.23496365962856866,0.4201664997108949,-0.20134030799363395,0.07154234632906831,0.19046067331972547,-0.010750219348904716,0.08748046549088903,-0.2602117512365855,0.06510539851309495,-0.02964559653242334,-0.06677042018750298,0.003943817578507796,0.14748319413767977,-0.15995474847430932,0.13623490948053907,-0.041896749796644914,-0.12369025313222223
0.794,low,18508391,2.6922908347160046e-15,-0.3306787506026633,0.06575106588636831,-0.310788610463428,0.00010349949244935902,-0.0651571398924401,-0.002936115440263787,0.29962148823505597,-0.06832995160953946,0.2622253082663216,0.006981857373614936,0.08162377811253134,0.002936115440261032,0.03105726236760707,0.0025788857231710954,0.04856330219710597,-0.00708535686606457,-0.01646663822009148
0.5247,low,294871189,1.0630385460785874e-14,-0.33474365198928063,0.06534538375899263,-0.31688207719998385,0.0017973235656310246,-0.05628691371477841,-0.0055566533073629285,0.244270198874096,-0.10916064576388562,0.21100835200768706,-0.035972601505317704,0.0053257550914267435,0.005556653307352211,0.09047345311518407,0.043815262004892774,0.10587372519229626,0.03417527793968601,0.050961158623351224
0.9993,medium,"[245672930, 294871188]",9.312041263129234e-06,-0.4217239474519764,0.13649164988648255,-0.3631153863052519,-0.004035047062513668,0.012317943751276879,-0.013230610053635017,0.098802815864179,-0.22319484468081816,0.0732352202966722,-0.037060999367181914,-0.11334370535071979,0.013221298012372085,0.3229211315877978,0.08670319479433605,0.2898801660085797,0.04109604642969569,0.10102576159944311
1.0,medium,"[1360092505, 450445885]",2.1340838818328933e-10,-0.3846895742496518,0.05750039914089596,-0.34352614802128834,0.006751581251663544,0.023193816911065625,-0.010926102878920714,0.12224502205041944,-0.17398267699920747,0.09348605960206512,-0.057546670199666757,-0.18805936824788783,0.010926102665512308,0.26244455219923246,0.11648227785831135,0.25004008841922304,0.05079508894800318,0.16486555133682226
1.0,high,295215797,0.005122813118842481,0.07990556973086191,0.05843198307032119,0.1347678670321721,0.013552239351018708,0.06744959211701604,-0.004491900867376948,-0.044779109580955934,-0.0377883955498163,-0.06385931103314713,-0.014446175559149333,-0.04942723071098705,-0.000630912251465502,-0.03512646014990595,-0.02064358752050496,-0.07090855599902504,0.0008939362081306097,-0.018022361406029138
1.0,high,4743362,0.004478188146826073,0.07223960154873305,0.085316513857429,0.12051049323490459,0.01094916059755354,0.0657361070347861,-0.0039047682820978896,-0.04285608981259857,-0.05210979750547394,-0.058163165373339265,-0.01176020504678453,-0.04599809728113853,-0.000573419864728187,-0.029383511736134658,-0.0332067163519552,-0.06234732786156533,0.0008110444492310034,-0.019738009753647593
1.0,high,295215797,0.005646412601818543,0.09295064658297456,0.03848342161903983,0.16723958579598405,0.026467190993151035,0.02844280682726421,-0.005408636074348688,-0.053692543563572614,-0.0257080066555521,-0.07737605523804611,-0.020913790728261786,-0.031693091041651446,-0.00023777652747003844,-0.039258103019401996,-0.012775414963487795,-0.08986353055793804,-0.005553400264889303,0.0032502842143871686
1.0,high,4743363,0.0062763954076898165,0.0673938108565077,0.10713948827671557,0.13729580706523561,0.025962606349340688,0.015161956464742936,-0.005924108875156452,-0.041431641598282214,-0.06275615014144172,-0.06468237562982153,-0.01789214881053044,-0.022105698246200376,-0.0003522865325335557,-0.025962169258225646,-0.04438333813527379,-0.07261343143541414,-0.008070457538810251,0.006943741781457437
1.0,high,4743364,0.0036568097353946866,0.06639244481937101,0.07641666176983616,0.10229784775091946,0.00779437747011108,0.10267192287460017,-0.003677857107864939,-0.04079105448568999,-0.051351672773691646,-0.05591419195747687,-0.011528904692962008,-0.05152844228374722,2.1047372470286985e-05,-0.025601390333681036,-0.02506498899614462,-0.046383655793442544,0.00373452722285089,-0.05114348059085294
1.0,high,"[295215802, 295215803, 241868444]",0.004771492290763679,0.07543416553369645,0.058090830167650175,0.13551744939201296,-0.018715566296086592,0.10413169333219613,-0.0047769873070670835,-0.048417153376846676,-0.038673883820101944,-0.07122375641268498,0.008625532233704158,-0.06032587461843612,5.495016303487532e-06,-0.027017012156849794,-0.019416946347548238,-0.06429369297932794,0.010090034062382455,-0.04380581871375998
