risk_probability,risk_class,osmid,shap_Lighting_high,shap_Visibility_high,shap_Connectivity_high,shap_Enclosure_high,shap_Land Use_high,shap_Transit Proximity_high,shap_Pedestrian Priority_high,shap_Lighting_low,shap_Visibility_low,shap_Connectivity_low,shap_Enclosure_low,shap_Land Use_low,shap_Transit Proximity_low,shap_Pedestrian Priority_low,shap_Lighting_medium,shap_Visibility_medium,shap_Connectivity_medium,shap_Enclosure_medium,shap_Land Use_medium,shap_Transit Proximity_medium,shap_Pedestrian Priority_medium
0.9952,low,"[931616773, 603022119, 914791432, 1478847731, 126304603]",0.0016721158569686298,-0.166642595808798,-0.019048830526411424,-0.07406485614152769,0.09322832464837012,-0.15389070803760058,0.0,-0.023040586190835446,0.3801746372472156,0.09544861376121472,0.128843180679505,-0.1886582792284022,0.39563501206700674,0.0,0.021368470333866976,-0.21353204143841809,-0.07639978323480366,-0.054778324537977714,0.09542995458003167,-0.2417443040294065,0.0
1.0,low,"[20355312, 545937949, 1360091605, 140001534]",0.0016118570776471053,-0.1397659649758266,-0.019434625493776128,-0.10186025105044513,0.03388698070300958,-0.09318454626960884,0.0,-0.02082102797211259,0.40352860302692983,0.06104947172587487,0.2479394985372531,-0.06278294310728114,0.16427888790427075,0.0,0.019209170894465513,-0.26376263805110384,-0.04161484623209915,-0.1460792474868084,0.028895962404271135,-0.0710943416346623,0.0
1.0,medium,"[542956869, 542956871, 20475367, 542956873, 257568507]",0.004622849553351217,-0.020900492559535293,0.03657565584402184,-0.11065040218216558,-0.004775671838302145,-0.2236119544248397,0.0,-0.026786606487880407,-0.1994237223954115,-0.02555962191360415,0.004724891758410659,0.024221310593619066,0.01603133438442126,0.0,0.022163756934529155,0.22032421495494658,-0.011016033930418044,0.10592551042375453,-0.019445638755317348,0.20758062004041805,0.0
0.9428,medium,"[962829744, 1235276476, 1235264093, 893745919]",0.009154763022290922,-0.009876735886318638,0.058996870896685163,-0.12423595675541942,0.060990667558037254,-0.2565293474797136,0.0,-0.024797131334252494,-0.10595907763141843,-0.020894860204026873,-0.030780351013779232,-0.0088701117101846,-0.015490913024875003,0.0,0.015642368311961766,0.11583581351773692,-0.03810201069265856,0.1550163077691983,-0.05212055584785285,0.27202026050458833,0.0
1.0,medium,"[20042722, 1213183375]",0.0034782607947641472,-0.13481174937597737,0.010157850398679124,-0.0820029778318197,0.12004518507648416,-0.2356130248507514,0.0,-0.03707634759458574,-0.03465981738196867,-0.01368112700481116,0.022426223416096507,-0.3103009571755321,0.16653431998792506,0.0,0.033598086799821764,0.16947156675794603,0.003523276606132039,0.05957675441572336,0.19025577209904812,0.06907870486282666,0.0
0.8563,medium,"[556115013, 889928966, 887044711, 519375847, 68506254]",0.011052456647375093,0.008155102018140407,0.05799039054182016,-0.12128749983533613,0.19132805570858177,-0.3222549530512488,0.0,-0.02341401120804619,-0.11560586853089679,-0.020707546699673268,-0.02748522075385028,-0.061132281830364954,0.04155248410440525,0.0,0.012361554560671104,0.10745076651275631,-0.03728284384214668,0.14877272058918645,-0.13019577387821674,0.2807024689468438,0.0
1.0,medium,"[295215809, 68506253]",0.003946208419143553,-0.045167626895759455,0.05111689681836247,-0.09382336853469038,0.008493897184202646,-0.24331240080031166,0.0,-0.031460349960665476,-0.2201294324101029,-0.06375034505818677,0.01559587110540072,0.010548814626653379,0.08241198879796845,0.0,0.02751414154152205,0.2652970593058625,0.01263344823982442,0.07822749742928961,-0.01904271181085596,0.1609004120023433,0.0
0.9224,medium,68506265,-0.11146901012866539,0.013239502348995017,-0.005861401454624786,-0.016363784108222274,-0.003875275581277752,-0.19441658093456518,0.0,0.18020583773398297,-0.30756825100513124,0.004142713886118237,-0.11338775479145309,-0.007412473150603319,0.1148547174024921,0.0,-0.06873682760531762,0.2943287486561365,0.0017186875685067764,0.12975153889967567,0.011287748731881413,0.07956186353207349,0.0
0.9983,low,304693491,-0.0029428412719905636,-0.13190240739710407,-0.0051114985451516225,-0.0526744093790302,0.007283324900059857,-0.13339871831578332,0.0,-0.007396120425442493,0.3272408842119238,0.03540130731387782,0.10725614869097821,0.028987544823420145,0.3000255241273584,0.0,0.010338961697433674,-0.19533847681481942,-0.03028980876872614,-0.05458173931194793,-0.036270869723479815,-0.16662680581157513,0.0
0.9955,low,545718428,-0.003017828032582999,-0.1337398782705212,-0.005371488961873918,-0.05377530608434218,0.007429902102153503,-0.13027195076183296,0.0,-0.007793451195551436,0.32731096113664987,0.04162623262304327,0.11620414435788878,0.03509132352168755,0.2762771959609955,0.0,0.010811279228134851,-0.19357108286612829,-0.036254743661169195,-0.06242883827354625,-0.0425212256238407,-0.14600524519916203,0.0
