osmid,lighting,visibility,connectivity,enclosure,dominant_land_use_score,public_transport_proximity_m,dist_to_rail_m,dist_to_bus_m,lighting_norm,visibility_norm,connectivity_norm,enclosure_norm,dominant_land_use_score_norm,public_transport_proximity_m_norm,risk_class,risk_probability
107088316,0,0.8714,9,0.0090158956666569,0.5,88.01,94.31,88.01,0.0,0.8311671261651569,0.3333333333333333,0.012286920437288728,0.5,0.20746691871455578,low,0.9997
386095891,0,1.0,7,0.0,,35.67,35.67,39.92,0.0,1.0,0.2,0.0,0.2432,0.08379017013232513,low,0.9959
67498505,0,0.8129,8,0.08030913671285907,0.5,0.21,0.21,9.44,0.0,0.7543652356570828,0.26666666666666666,0.109445806568892,0.5,0.0,low,0.9966
67498495,0,0.8418,8,0.1459532691322881,0.0,53.69,53.69,58.72,0.0,0.7923066824209005,0.26666666666666666,0.19890605123379557,0.0,0.12637051039697542,medium,0.9129
551621831,0,0.5926,8,0.42195181585791036,0.2147,86.32,86.32,86.8,0.0,0.46514375738479713,0.26666666666666666,0.5750386408073931,0.2147,0.20347353497164458,high,1.0
67498505,0,0.8147,7,0.09048549973415945,0.5,76.65,76.65,79.65,0.0,0.756728370749639,0.2,0.12331421935965896,0.5,0.18062381852551987,medium,1.0
230989052,0,0.6721,8,0.1773954147111197,0.5,40.57,42.26,40.57,0.0,0.569515557306026,0.26666666666666666,0.24175560888046294,0.5,0.09536862003780718,medium,0.9991
655440028,0,0.8025,9,0.01656255559671324,0.5,119.91,120.03,119.91,0.0,0.7407115662334253,0.3333333333333333,0.02257155698990533,0.5,0.2828449905482041,medium,0.9916
8029363,0,0.5748,7,0.181785369876766,0.5,146.74,147.34,146.74,0.0,0.4417749770250754,0.2,0.24773826793485298,0.5,0.34624291115311906,high,1.0
8014182,0,0.6972,7,0.1502318328609258,0.5,163.32,163.32,167.47,0.0,0.602468163318892,0.2,0.2047369053234297,0.5,0.38542060491493374,high,1.0
71270647,0,0.9018,7,0.0,0.5,133.08,133.08,138.22,0.0,0.8710778521727713,0.2,0.0,0.5,0.3139650283553875,medium,1.0
45756888,0,1.0,7,0.0,,45.84,45.84,46.46,0.0,1.0,0.2,0.0,0.2432,0.10782136105860113,low,0.9694
"[386095888, 386095890]",0,0.9419,6,0.0,0.5,83.83,89.47,83.83,0.0,0.923723250623605,0.13333333333333333,0.0,0.5,0.1975897920604915,medium,0.9946
386095887,0,1.0,8,0.0,,162.39,168.83,162.39,0.0,1.0,0.26666666666666666,0.0,0.2432,0.38322306238185244,medium,1.0
71270644,0,1.0,8,0.0,,184.27,184.27,185.6,0.0,1.0,0.26666666666666666,0.0,0.2432,0.4349243856332703,medium,1.0
67498724,0,0.7225,10,0.09090936805447254,0.5,23.19,23.19,59.2,0.0,0.6356833398975975,0.4,0.12389186982502923,0.5,0.05430056710775047,low,0.9984
8816858,0,0.4989,10,0.17055879367992638,0.5,59.11,59.11,69.06,0.0,0.3421294472889589,0.4,0.23243861789299794,0.5,0.1391776937618147,medium,0.9875
15219043,0,0.4716,9,0.45370687586915914,0.4784,73.2,73.2,78.43,0.0,0.3062885650518577,0.3333333333333333,0.6183146402494119,0.4784,0.17247164461247638,high,1.0
8816858,0,0.4989,10,0.17055879367992638,0.5,59.11,59.11,69.06,0.0,0.3421294472889589,0.4,0.23243861789299794,0.5,0.1391776937618147,medium,0.9875
1287001472,0,0.5084,10,0.1908900333976543,0.4163,11.19,11.19,15.52,0.0,0.35460154916633835,0.4,0.2601461617731942,0.4163,0.025945179584120976,medium,0.9997
8028969,0,0.518,8,0.4057740321177748,0.5,32.02,32.02,40.03,0.0,0.36720493632663775,0.26666666666666666,0.5529914533713373,0.5,0.07516540642722117,high,1.0
1436555097,0,0.5379,10,0.17701353477723242,0.3109,33.14,33.14,33.49,0.0,0.39333070762767497,0.4,0.24123518045740314,0.3109,0.07781190926275991,medium,0.9856
1287001472,0,0.5084,10,0.1908900333976543,0.4163,11.19,11.19,15.52,0.0,0.35460154916633835,0.4,0.2601461617731942,0.4163,0.025945179584120976,medium,0.9997
