neighborhood,borough,location_id,lighting,visibility,connectivity,enclosure,risk_score,dominant_land_use_score,public_transport_proximity_m,pedestrian_priority_score,som_cluster,som_x,som_y
Eixample,Eixample,eixample_001029,0.0,1.0,5.0,0.0,0.3176801181654822,0.5,94.78,0.0,0_4,0,4
Eixample,Eixample,eixample_001030,0.0,1.0,3.0,0.0,0.3118771454546346,0.5,97.42,0.0,7_0,7,0
Eixample,Eixample,eixample_001031,0.0,0.5696750523571698,6.0,0.1312455451553162,0.3836888714852544,0.5009,17.29,0.0,4_5,4,5
Eixample,Eixample,eixample_001032,0.0,1.0,3.0,0.0,0.2842363813926897,0.506,3.69,0.0,7_0,7,0
Eixample,Eixample,eixample_001033,0.0,0.4357393453968495,3.0,0.3028170473650406,0.4256529118650581,0.5014,23.37,0.0,7_4,7,4
Eixample,Eixample,eixample_001034,0.0,1.0,2.0,0.0,0.2830184758046603,0.5039,13.57,0.0,7_0,7,0
Eixample,Eixample,eixample_001035,0.0,0.5844641975595231,7.0,0.1372742221848224,0.3866471033535121,0.5034,15.34,0.0,3_4,3,4
Eixample,Eixample,eixample_001036,0.0,1.0,3.0,0.0,0.2834725582644996,0.5003,11.29,0.0,7_1,7,1
Eixample,Eixample,eixample_001037,0.0,1.0,4.0,0.0,0.2885483564583176,0.5,17.33,0.0,7_1,7,1
Eixample,Eixample,eixample_001038,0.0,1.0,4.0,0.0,0.2916584765635458,0.507,14.57,0.0,0_4,0,4
Eixample,Eixample,eixample_001039,0.0,1.0,2.0,0.0,0.2901052557567357,0.5112,22.42,0.0,7_0,7,0
Eixample,Eixample,eixample_001040,0.0,0.374210305860841,5.0,0.4293292835622176,0.4814268153388755,0.4842,98.22,0.0,1_1,1,1
Eixample,Eixample,eixample_001041,0.0,1.0,5.0,0.0,0.3059921369180031,0.4841,87.68,0.0,1_3,1,3
Eixample,Eixample,eixample_001042,0.0,1.0,4.0,0.0,0.2966062408174643,0.4896,59.84,0.0,7_3,7,3
Eixample,Eixample,eixample_001043,0.0,0.3089194908756801,6.0,0.5288977764145879,0.5167176471409702,0.4953,86.6,0.0,3_3,3,3
Eixample,Eixample,eixample_001044,0.0,1.0,3.0,0.0,0.3012805838245894,0.5,65.73,0.0,7_0,7,0
Eixample,Eixample,eixample_001045,0.0,1.0,3.0,0.0,0.3018818475248652,0.4999,67.71,0.0,7_0,7,0
Eixample,Eixample,eixample_001046,0.0,0.3998681032686256,7.0,0.3376360185042298,0.4351942548219078,0.4811,12.8,0.0,2_2,2,2
Eixample,Eixample,eixample_001047,0.0,1.0,5.0,0.0,0.2898076855874757,0.498,14.7,0.0,0_4,0,4
Eixample,Eixample,eixample_001048,0.0,1.0,6.0,0.0,0.2918372083704231,0.4948,16.49,0.0,1_4,1,4
Eixample,Eixample,eixample_001049,0.0,0.4613283680665826,7.0,0.2757144621354652,0.4305038233652023,0.495,32.16,0.0,3_4,3,4
Eixample,Eixample,eixample_001050,0.0,1.0,6.0,0.0,0.3028907241712695,0.5,40.75,0.0,1_4,1,4
Eixample,Eixample,eixample_001051,0.0,0.2996465074174858,6.0,0.5404189247110777,0.503624684471973,0.4887,54.28,0.0,3_2,3,2
Eixample,Eixample,eixample_001052,0.0,1.0,3.0,0.0,0.2970087322653584,0.5015,50.26,0.0,7_0,7,0
Eixample,Eixample,eixample_001053,0.0,1.0,6.0,0.0,0.2971682605772245,0.491,39.22,0.0,1_4,1,4
Eixample,Eixample,eixample_001054,0.0,0.0664365231700884,3.0,0.8986843021656151,0.5921448369945618,0.4796,57.37,0.0,3_0,3,0
Eixample,Eixample,eixample_001055,0.0,0.1270554450543605,4.0,0.8062404462921002,0.5979203143133676,0.4876,118.01,0.0,4_1,4,1
Eixample,Eixample,eixample_001056,0.0,1.0,4.0,0.0,0.3263100029411692,0.5,130.2,0.0,0_4,0,4
Eixample,Eixample,eixample_001057,0.0,0.5291365214406979,3.0,0.1533815656948834,0.4160817460773333,0.4844,137.63,0.0,5_5,5,5
Eixample,Eixample,eixample_001058,0.0,1.0,4.0,0.0,0.3255591838985498,0.5,127.99,0.0,0_4,0,4
Eixample,Eixample,eixample_001059,0.0,0.525146822530155,6.0,0.1203790722619903,0.3785096107991871,0.4789,25.59,0.0,2_3,2,3
Eixample,Eixample,eixample_001060,0.0,0.2504567605966894,3.0,0.6180534400900487,0.6125765322486395,0.5,285.53,0.0,5_0,5,0
Eixample,Eixample,eixample_001061,0.0,0.0,6.0,1.0,0.7297706110721992,0.5,252.78,0.0,4_2,4,2
Eixample,Eixample,eixample_001062,0.0,0.3438310137457609,6.0,0.4756577040377145,0.5591687183372537,0.5,228.45,0.0,3_3,3,3
Eixample,Eixample,eixample_001063,0.0,0.0372343559765043,3.0,0.9432176071358308,0.7066905657507241,0.5,270.22,0.0,4_0,4,0
Eixample,Eixample,eixample_001064,0.0,0.2586154816579245,6.0,0.6056113904716652,0.6051206264743604,0.5,246.47,0.0,3_3,3,3
Eixample,Eixample,eixample_001065,0.0,0.0,6.0,1.0,0.7141842530045868,0.5,215.45,0.0,4_2,4,2
Eixample,Eixample,eixample_001066,0.0,0.3558833688841001,5.0,0.4572778624517473,0.4874943274384831,0.5013,63.39,0.0,5_3,5,3
Eixample,Eixample,eixample_001067,0.0,0.0,6.0,1.0,0.6951519329528976,0.4995,170.45,0.0,4_2,4,2
Eixample,Eixample,eixample_001068,0.0,0.49088202612199,6.0,0.2514049101639653,0.4420677395144857,0.5,89.57,0.0,4_4,4,4
Eixample,Eixample,eixample_001069,0.0,0.0,6.0,1.0,0.6681147039588057,0.5,103.85,0.0,4_2,4,2
Eixample,Eixample,eixample_001070,0.0,1.0,6.0,0.0,0.2923100323397437,0.5003,8.34,0.0,1_4,1,4
Eixample,Eixample,eixample_001071,0.0,1.0,5.0,0.0,0.2934588850873177,0.5061,11.65,0.0,0_4,0,4
Eixample,Eixample,eixample_001072,0.0,0.0,4.0,1.0,0.625606587464817,0.5,18.97,0.0,4_0,4,0
Eixample,Eixample,eixample_001073,0.0,1.0,5.0,0.0,0.2794286394258212,0.4825,10.06,0.0,1_3,1,3
Eixample,Eixample,eixample_001074,9.716352610413674,0.6556589583483597,8.0,0.0001200885187515,0.3450043713051943,0.4968,10.24,0.0,2_5,2,5
Eixample,Eixample,eixample_001075,0.0,1.0,5.0,0.0,0.2891648548404453,0.4854,34.7,0.0,1_3,1,3
Eixample,Eixample,eixample_001076,0.0,1.0,5.0,0.0,0.3024748275447296,0.5,49.44,0.0,0_4,0,4
Eixample,Eixample,eixample_001077,0.0,1.0,3.0,0.0,0.288065271161966,0.5,25.8,0.0,7_1,7,1
Eixample,Eixample,eixample_001078,56.31518798565735,1.0,6.0,0.0,0.2594217195918,0.5,6.72,0.0,0_2,0,2
Eixample,Eixample,eixample_001079,0.0,1.0,5.0,0.0,0.2955446211888418,0.5,28.58,0.0,0_4,0,4
Eixample,Eixample,eixample_001080,0.0,1.0,0.0,0.0,0.2791430788193568,,31.0,0.0,0_0,0,0
Eixample,Eixample,eixample_001081,222.9897371291063,1.0,3.0,0.0,0.1642916948491451,0.5,15.45,0.0,0_2,0,2
Eixample,Eixample,eixample_001082,51.03075134722987,1.0,4.0,0.0,0.2600342382016625,0.4972,24.1,0.0,0_2,0,2
Eixample,Eixample,eixample_001083,0.0,1.0,4.0,0.0,0.3084642235212316,0.5298,25.39,0.0,0_4,0,4
Eixample,Eixample,eixample_001084,0.0,0.0,4.0,1.0,0.6214181926295196,0.5,8.55,0.0,4_0,4,0
Eixample,Eixample,eixample_001085,0.0,1.0,6.0,0.0,0.2897556873908409,0.5,1.12,0.0,1_4,1,4
Eixample,Eixample,eixample_001086,0.0,1.0,4.0,0.0,0.2840248878309624,0.5,3.56,0.0,7_1,7,1
Eixample,Eixample,eixample_001087,0.0,1.0,3.0,0.0,0.2847273570650003,0.5,15.64,0.0,7_1,7,1
Eixample,Eixample,eixample_001088,0.0,1.0,3.0,0.0,0.2823811197191299,0.5,8.48,0.0,7_1,7,1
Eixample,Eixample,eixample_001089,0.0,1.0,2.0,0.0,0.3582759429810891,0.5,242.99,0.0,7_0,7,0
Eixample,Eixample,eixample_001090,0.0,1.0,3.0,0.0,0.2811510357478516,0.5,4.72,0.0,7_1,7,1
Eixample,Eixample,eixample_001091,0.0,1.0,5.0,0.0,0.2908462703500659,0.4999,14.54,0.0,0_4,0,4
Eixample,Eixample,eixample_001092,0.0,0.415344317616536,2.0,0.3665999156347826,0.4285289800006663,0.4964,11.43,0.0,6_0,6,0
Eixample,Eixample,eixample_001093,0.0,1.0,6.0,0.0,0.2944150063637766,0.5,15.23,0.0,1_4,1,4
