osm_id,name,highway,waterway,aerialway,barrier,man_made,railway,z_order,other_tags,lanes,maxspeed,oneway,sidewalk,cycleway,width,service,access,surface,smoothness,lit,bridge,tunnel,layer,ref,junction,oneway:cycleway,cycleway:both,cycleway:left,cycleway:right,foot,motor_vehicle,bicycle,footway,borough,longitude,latitude,location_id,lighting,connectivity,enclosure,visibility_blocked_ratio,visibility,public_transport_proximity_m,dominant_land_use_score,geometry,sidewalk_score,cycleway_score,speed_score,lane_penalty,highway_type_score,pedestrian_priority_score
1227177217,,footway,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,Eixample,2.1849539,41.3947582,eixample_001511,0.0,3.0,0.0,0.0,1.0,70.0,0.5,"LINESTRING (431864.637049 4582901.654344, 431862.742394 4582900.217695)",0.5,0.2,0.5,0.5,1.0,0.53
1227177218,,steps,,,,,,0,"""ramp""=>""separate""",,,,,,,,,,,,,,,,,,,,,,,,,Eixample,2.1849391,41.3947475,eixample_001512,0.0,4.0,0.0,0.0,1.0,71.25,0.5,"LINESTRING (431862.742394 4582900.217695, 431862.123454 4582899.301982)",0.5,0.2,0.5,0.5,1.0,0.53
1227177219,Carrer de Sardenya,footway,,,,,,0,"""bicycle""=>""yes"",""name:ca""=>""Carrer de Sardenya"",""name:etymology:wikidata""=>""Q165154"",""surface""=>""paving_stones""",,,,,,,,,paving_stones,,,,,,,,,,,,,,yes,,Eixample,2.1844938,41.3948771,eixample_001513,0.0,4.0,0.0,0.0,1.0,107.48,0.5,"LINESTRING (431824.418488 4582913.668561, 431826.265182 4582915.338811)",0.5,0.2,0.5,0.5,1.0,0.53
1227177220,Carrer de Sardenya,footway,,,,,,0,"""bicycle""=>""yes"",""name:ca""=>""Carrer de Sardenya"",""name:etymology:wikidata""=>""Q165154"",""surface""=>""paving_stones""",,,,,,,,,paving_stones,,,,,,,,,,,,,,yes,,Eixample,2.1846009,41.3949512,eixample_001514,0.0,4.0,0.0,0.0,1.0,101.9,0.5,"LINESTRING (431833.963668 4582922.272247, 431834.790039 4582923.019463)",0.5,0.2,0.5,0.5,1.0,0.53
1227177221,Carrer de Sardenya,footway,,,,,,0,"""footway""=>""sidewalk"",""name:ca""=>""Carrer de Sardenya"",""name:etymology:wikidata""=>""Q165154""",,,,,,,,,,,,,,,,,,,,,,,,sidewalk,Eixample,2.1846843,41.3949492,eixample_001515,0.0,5.0,0.0,0.0,1.0,95.05,0.5,"LINESTRING (431841.708972 4582922.63237, 431840.9848 4582922.084042)",0.5,0.2,0.5,0.5,1.0,0.53
1227177222,Carrer de Sardenya,steps,,,,,,0,"""name:ca""=>""Carrer de Sardenya"",""name:etymology:wikidata""=>""Q165154"",""ramp""=>""separate""",,,,,,,,,,,,,,,,,,,,,,,,,Eixample,2.1846762,41.3949445,eixample_001516,0.0,4.0,0.0,0.0,1.0,95.59,0.5,"LINESTRING (431840.9848 4582922.084042, 431840.353214 4582921.601461)",0.5,0.2,0.5,0.5,1.0,0.53
1227177514,Carrer de Sancho d'Ávila,footway,,,,,,10,"""bicycle""=>""yes"",""cycle_network""=>""ES:BCN"",""foot""=>""yes"",""layer""=>""1"",""name:ca""=>""Carrer de Sancho d'Ávila"",""segregated""=>""no"",""surface""=>""paving_stones""",,,,,,,,,paving_stones,,,,,1.0,,,,,,,yes,,yes,,Eixample,2.1849614,41.3947199,eixample_001517,0.0,6.0,0.0,0.0,1.0,69.51,0.5,"LINESTRING (431864.000799 4582894.454587, 431864.945252 4582895.311724, 431863.632734 4582897.988752, 431864.21447 4582899.39334)",0.5,0.2,0.5,0.5,1.0,0.53
1227177515,,footway,,,,,,0,"""bicycle""=>""yes"",""segregated""=>""no"",""surface""=>""paving_stones""",,,,,,,,,paving_stones,,,,,,,,,,,,,,yes,,Eixample,2.184645,41.3949571,eixample_001518,0.0,5.0,0.0,0.0,1.0,98.56,0.5,"LINESTRING (431834.790039 4582923.019463, 431837.058693 4582924.219425, 431838.08633 4582923.25491, 431841.708972 4582922.63237)",0.5,0.2,0.5,0.5,1.0,0.53
1227178062,Carrer de Sancho d'Ávila,footway,,,,,,0,"""bicycle""=>""yes"",""cycle_network""=>""ES:BCN"",""foot""=>""yes"",""name:ca""=>""Carrer de Sancho d'Ávila"",""segregated""=>""no"",""surface""=>""paving_stones""",,,,,,,,,paving_stones,,,,,,,,,,,,yes,,yes,,Eixample,2.1849486,41.3946929,eixample_001519,0.0,6.0,0.0,0.0,1.0,70.77,0.5,"LINESTRING (431862.347848 4582892.937945, 431864.000799 4582894.454587)",0.5,0.2,0.5,0.5,1.0,0.53
1227181461,Carrer de Nàpols,footway,,,,,,0,"""lit""=>""yes"",""name:ca""=>""Carrer de Nàpols"",""name:etymology:wikidata""=>""Q173065"",""surface""=>""paving_stones""",,,,,,,,,paving_stones,,yes,,,,,,,,,,,,,,Eixample,2.1822602,41.3930936,eixample_001520,0.0,3.0,0.0,0.0,1.0,31.27,0.5,"LINESTRING (431635.664438 4582717.384025, 431637.838212 4582719.151067)",0.5,0.2,0.5,0.5,1.0,0.53
1227181462,Avinguda de Vilanova,residential,,,,,,3,"""cycleway""=>""no"",""lanes""=>""2"",""lit""=>""yes"",""maxspeed""=>""30"",""name:ca""=>""Avinguda de Vilanova"",""oneway""=>""no"",""source:maxspeed""=>""ES:urban"",""surface""=>""asphalt"",""wikidata""=>""Q17587411"",""wikipedia""=>""ca:Avinguda de Vilanova""",2.0,30.0,no,,no,,,,asphalt,,yes,,,,,,,,,,,,,,Eixample,2.1822824,41.3929513,eixample_001521,0.0,7.0,0.0,0.0,1.0,26.32,0.5,"LINESTRING (431641.861298 4582706.022849, 431635.046582 4582698.870316)",0.5,0.2,1.0,0.2,0.75,0.6525
1227246505,Passeig de Sant Joan,footway,,,,,,0,"""crossing""=>""uncontrolled"",""crossing:markings""=>""zebra"",""footway""=>""crossing"",""lit""=>""yes"",""name:ca""=>""Passeig de Sant Joan"",""name:etymology:wikidata""=>""Q40662"",""segregated""=>""no"",""surface""=>""asphalt""",,,,,,,,,asphalt,,yes,,,,,,,,,,,,,crossing,Eixample,2.1696628,41.399531,eixample_001522,0.0,6.0,0.0,0.0,1.0,73.89,0.5,"LINESTRING (430591.094218 4583443.476097, 430589.796675 4583442.422655)",0.5,0.2,0.5,0.5,1.0,0.53
1227246506,Passeig de Sant Joan,footway,,,,,,0,"""lit""=>""yes"",""name:ca""=>""Passeig de Sant Joan"",""name:etymology:wikidata""=>""Q40662"",""surface""=>""paving_stones""",,,,,,,,,paving_stones,,yes,,,,,,,,,,,,,,Eixample,2.1697242,41.3995736,eixample_001523,0.0,5.0,0.0,0.0,1.0,67.12,0.5,"LINESTRING (430596.029719 4583448.158626, 430595.217015 4583447.100537)",0.5,0.2,0.5,0.5,1.0,0.53
1227246507,Passeig de Sant Joan,cycleway,,,,,,0,"""crossing""=>""uncontrolled"",""crossing:markings""=>""zebra"",""cycleway""=>""crossing"",""foot""=>""no"",""lanes""=>""1"",""lit""=>""yes"",""name:ca""=>""Passeig de Sant Joan"",""name:etymology:wikidata""=>""Q40662"",""oneway""=>""yes"",""surface""=>""asphalt""",1.0,,yes,,crossing,,,,asphalt,,yes,,,,,,,,,,no,,,,Eixample,2.1696709,41.3992249,eixample_001524,0.0,5.0,0.2331651893609707,0.2331651893609707,0.5028424987796913,87.91,0.4948,"LINESTRING (430578.395387 4583412.087816, 430591.914335 4583408.671781, 430599.658694 4583407.231907, 430603.298568 4583406.697397)",0.5,0.2,0.7126,0.4,0.3,0.4875
1227257768,,footway,,,,,,0,"""surface""=>""paving_stones""",,,,,,,,,paving_stones,,,,,,,,,,,,,,,,Eixample,2.1845461,41.3946094,eixample_001525,0.0,5.0,0.0,0.0,1.0,105.33,0.5,"LINESTRING (431829.160338 4582884.501184, 431829.708225 4582884.973449)",0.5,0.2,0.5,0.5,1.0,0.53
1227257769,,footway,,,,,,0,"""surface""=>""paving_stones""",,,,,,,,,paving_stones,,,,,,,,,,,,,,,,Eixample,2.1844934,41.3946503,eixample_001526,0.0,3.0,0.0,0.0,1.0,109.11,0.5,"LINESTRING (431824.670651 4582888.940165, 431825.480515 4582889.709741)",0.5,0.2,0.5,0.5,1.0,0.53
1227257770,Carrer de Sardenya,footway,,,,,,0,"""footway""=>""sidewalk"",""name:ca""=>""Carrer de Sardenya"",""name:etymology:wikidata""=>""Q165154""",,,,,,,,,,,,,,,,,,,,,,,,sidewalk,Eixample,2.1844994,41.3948113,eixample_001527,0.0,3.0,0.0,0.0,1.0,108.19,0.5,"LINESTRING (431826.152119 4582907.767739, 431825.330239 4582906.609676)",0.5,0.2,0.5,0.5,1.0,0.53
1227257771,,steps,,,,,,0,"""ramp""=>""separate""",,,,,,,,,,,,,,,,,,,,,,,,,Eixample,2.1845068,41.3948203,eixample_001528,0.0,4.0,0.0,0.0,1.0,107.64,0.5,"LINESTRING (431826.586414 4582908.607467, 431826.152119 4582907.767739)",0.5,0.2,0.5,0.5,1.0,0.53
1227257772,,footway,,,,,,0,"""surface""=>""paving_stones""",,,,,,,,,paving_stones,,,,,,,,,,,,,,,,Eixample,2.1848028,41.394629,eixample_001529,0.0,3.0,0.5844655013805475,0.5844655013805475,0.2724816384389852,83.77,0.5,"LINESTRING (431848.348501 4582886.33023, 431850.121841 4582887.3128, 431853.384512 4582884.861684)",0.5,0.2,0.5,0.5,1.0,0.53
1227257773,,footway,,,,,,0,"""surface""=>""paving_stones""",,,,,,,,,paving_stones,,,,,,,,,,,,,,,,Eixample,2.1847499,41.3946127,eixample_001530,0.0,3.0,0.0,0.0,1.0,88.46,0.5,"LINESTRING (431845.560691 4582884.158099, 431847.406447 4582885.728437)",0.5,0.2,0.5,0.5,1.0,0.53
1227257774,,steps,,,,,,0,"""ramp""=>""separate""",,,,,,,,,,,,,,,,,,,,,,,,,Eixample,2.1847665,41.3946226,eixample_001531,0.0,4.0,0.0,0.0,1.0,86.9,0.5,"LINESTRING (431847.406447 4582885.728437, 431848.348501 4582886.33023)",0.5,0.2,0.5,0.5,1.0,0.53
