osm_id,name,highway,waterway,aerialway,barrier,man_made,railway,z_order,other_tags,lanes,maxspeed,oneway,sidewalk,cycleway,width,service,access,surface,smoothness,lit,bridge,tunnel,layer,ref,junction,oneway:cycleway,cycleway:both,cycleway:left,cycleway:right,foot,motor_vehicle,bicycle,footway,borough,longitude,latitude,location_id,lighting,connectivity,enclosure
313395783,Avinguda Diagonal (lateral muntanya),tertiary_link,,,,,,4,"""cycleway:right""=>""no"",""highway:-2020""=>""cycleway"",""lanes""=>""2"",""lit:-2020""=>""yes"",""maxspeed:-2020""=>""10"",""name:ca""=>""Avinguda Diagonal (lateral muntanya)"",""oneway""=>""yes"",""surface""=>""asphalt"",""wikidata""=>""Q791045"",""wikipedia""=>""ca:Avinguda""",2,,yes,,,,,,asphalt,,,,,,,,,,,no,,,,,Eixample,2.1721042,41.3997958,eixample_004544,,,
313395786,Carrer de València,secondary,,,,,,6,"""lanes""=>""3"",""lit""=>""yes"",""maxspeed""=>""50"",""name:ca""=>""Carrer de València"",""name:etymology:wikidata""=>""Q8818"",""oneway""=>""yes"",""psv:lanes""=>""yes|yes|designated"",""sidewalk:both""=>""separate"",""smoothness""=>""good"",""surface""=>""asphalt""",3,50,yes,,,,,,asphalt,good,yes,,,,,,,,,,,,,,Eixample,2.174121,41.4008179,eixample_004545,,,
313547796,Carrer de la Marina,pedestrian,,,,,,0,"""lit""=>""yes"",""motor_vehicle""=>""no"",""name:ca""=>""Carrer de la Marina"",""surface""=>""asphalt"",""width""=>""9""",,,,,,9,,,asphalt,,yes,,,,,,,,,,,no,,,Eixample,2.1761579,41.4031855,eixample_004546,,,
313674006,Passatge de Canadell,living_street,,,,,,0,"""foot""=>""designated"",""lanes""=>""1"",""maxspeed""=>""20"",""motor_vehicle""=>""destination"",""name:ca""=>""Passatge de Canadell"",""oneway""=>""yes"",""parking:both""=>""no"",""parking:both:restriction""=>""no_parking""",1,20,yes,,,,,,,,,,,,,,,,,,designated,destination,,,Eixample,2.1754052,41.4078869,eixample_004547,,,
313674009,Passatge de Torres,service,,,,,,0,"""access""=>""private"",""name:ca""=>""Passatge de Torres"",""oneway""=>""no"",""surface""=>""asphalt""",,,no,,,,,private,asphalt,,,,,,,,,,,,,,,,Eixample,2.1708708,41.4058832,eixample_004548,,,
313674012,Avinguda de Gaudí,service,,,,,,0,"""bicycle""=>""yes"",""cycleway""=>""shared_lane"",""foot""=>""designated"",""maxspeed""=>""20"",""motor_vehicle""=>""destination"",""name:ca""=>""Avinguda de Gaudí"",""name:etymology:wikidata""=>""Q25328"",""oneway""=>""yes"",""surface""=>""sett""",,20,yes,,shared_lane,,,,sett,,,,,,,,,,,,designated,destination,yes,,Eixample,2.1744131,41.4060184,eixample_004549,,,
314005655,Gran Via de les Corts Catalanes,footway,,,,,,0,"""bicycle""=>""yes"",""crossing""=>""traffic_signals"",""footway""=>""crossing"",""lit""=>""yes"",""name:ca""=>""Gran Via de les Corts Catalanes"",""name:etymology:wikidata""=>""Q1902969"",""surface""=>""asphalt""",,,,,,,,,asphalt,,yes,,,,,,,,,,,,yes,crossing,Eixample,2.1742544,41.3939193,eixample_004550,,,
314005659,Gran Via de les Corts Catalanes,footway,,,,,,0,"""bicycle""=>""yes"",""crossing""=>""traffic_signals"",""footway""=>""crossing"",""lit""=>""yes"",""name:ca""=>""Gran Via de les Corts Catalanes"",""name:etymology:wikidata""=>""Q1902969"",""surface""=>""asphalt""",,,,,,,,,asphalt,,yes,,,,,,,,,,,,yes,crossing,Eixample,2.174447,41.3937777,eixample_004551,,,
314249465,,footway,,,,,,0,"""tunnel""=>""building_passage""",,,,,,,,,,,,,building_passage,,,,,,,,,,,,Eixample,2.1533716,41.3905337,eixample_004552,,,
314679876,Carrer de Mallorca,secondary,,,,,,6,"""lanes""=>""3"",""lit""=>""yes"",""maxspeed""=>""30"",""name:ca""=>""Carrer de Mallorca"",""oneway""=>""yes"",""surface""=>""asphalt"",""wikidata""=>""Q3449012"",""wikipedia""=>""ca:Carrer de Mallorca""",3,30,yes,,,,,,asphalt,,yes,,,,,,,,,,,,,,Eixample,2.1693252,41.3989366,eixample_004553,,,
314679877,Avinguda Diagonal,residential,,,,,,3,"""access""=>""no"",""lanes""=>""1"",""lit""=>""yes"",""maxspeed""=>""50"",""maxweight""=>""3.5"",""name:ca""=>""Avinguda Diagonal"",""oneway""=>""yes"",""psv""=>""designated"",""surface""=>""asphalt"",""wikidata""=>""Q791045"",""wikipedia""=>""ca:Avinguda Diagonal""",1,50,yes,,,,,no,asphalt,,yes,,,,,,,,,,,,,,Eixample,2.1693302,41.3990301,eixample_004554,,,
314679879,Avinguda Diagonal (lateral muntanya),tertiary_link,,,,,,4,"""cycleway:left""=>""separate"",""lanes""=>""1"",""lit""=>""yes"",""maxspeed""=>""50"",""name:ca""=>""Avinguda Diagonal (lateral muntanya)"",""oneway""=>""yes"",""smoothness""=>""good"",""surface""=>""asphalt"",""wikidata""=>""Q791045"",""wikipedia""=>""ca:Avinguda Diagonal""",1,50,yes,,,,,,asphalt,good,yes,,,,,,,,separate,,,,,,Eixample,2.1687102,41.399013,eixample_004555,,,
314679880,Passeig de Sant Joan,tertiary,,,,,,4,"""lanes""=>""2"",""lit""=>""yes"",""maxspeed""=>""30"",""name:ca""=>""Passeig de Sant Joan"",""name:etymology:wikidata""=>""Q40662"",""oneway""=>""no"",""surface""=>""asphalt"",""wikidata""=>""Q3117447"",""wikipedia""=>""ca:Passeig de Sant Joan""",2,30,no,,,,,,asphalt,,yes,,,,,,,,,,,,,,Eixample,2.1695076,41.3992134,eixample_004556,,,
314679881,Passeig de Sant Joan,tertiary,,,,,,4,"""lanes""=>""2"",""lit""=>""yes"",""maxspeed""=>""30"",""name:ca""=>""Passeig de Sant Joan"",""name:etymology:wikidata""=>""Q40662"",""oneway""=>""yes"",""surface""=>""asphalt"",""wikidata""=>""Q3117447"",""wikipedia""=>""ca:Passeig de Sant Joan""",2,30,yes,,,,,,asphalt,,yes,,,,,,,,,,,,,,Eixample,2.1696462,41.3991469,eixample_004557,,,
314679882,Avinguda Diagonal,secondary,,,,,,6,"""lanes""=>""3"",""lit""=>""yes"",""maxspeed""=>""30"",""maxweight""=>""3.5"",""name:ca""=>""Avinguda Diagonal"",""oneway""=>""yes"",""surface""=>""asphalt"",""wikidata""=>""Q791045"",""wikipedia""=>""ca:Avinguda Diagonal""",3,30,yes,,,,,,asphalt,,yes,,,,,,,,,,,,,,Eixample,2.169555,41.3991144,eixample_004558,,,
