osm_id,name,highway,waterway,aerialway,barrier,man_made,railway,z_order,other_tags,geometry,lanes,maxspeed,oneway,sidewalk,cycleway,width,service,access,surface,smoothness,lit,bridge,tunnel,layer,ref,junction,oneway:cycleway,cycleway:both,cycleway:left,cycleway:right,foot,motor_vehicle,bicycle,footway,borough,longitude,latitude,location_id,lighting,connectivity,enclosure,visibility_blocked_ratio,visibility,public_transport_proximity_m,dominant_land_use_score
1000038393,Túnel Glòries,primary,,,,,,-43,"""bicycle""=>""no"",""foot""=>""no"",""hazmat""=>""no"",""lanes""=>""3"",""layer""=>""-4"",""lit""=>""yes"",""maxheight""=>""5"",""maxspeed""=>""50"",""name:ca""=>""Túnel Glòries"",""oneway""=>""yes"",""opening_date""=>""2021-11-06"",""psv:lanes""=>""yes|yes|designated"",""ref""=>""C-31"",""surface""=>""concrete"",""tunnel""=>""yes"",""wikidata""=>""Q23499067"",""wikipedia""=>""ca:Túnels de les Glòries Catalanes""","LINESTRING (431839.843847 4583658.957331, 431883.090008 4583700.852267)",3,50,yes,,,,,,concrete,,yes,,yes,-4,C-31,,,,,,no,,no,,Eixample,2.1848397,41.4017739,eixample_000000,0.0,4.0,0.3695495818001486,0.3695495818001486,0.3940315113749071,75.2,0.4934
1000249404,Túnel Glòries,primary,,,,,,-43,"""bicycle""=>""no"",""foot""=>""no"",""hazmat""=>""no"",""lanes""=>""3"",""layer""=>""-4"",""lit""=>""yes"",""maxheight""=>""5"",""maxspeed""=>""50"",""name:ca""=>""Túnel Glòries"",""oneway""=>""yes"",""opening_date""=>""2022-04-03"",""psv:lanes""=>""designated|yes|yes|"",""ref""=>""C-31"",""surface""=>""concrete"",""tunnel""=>""yes"",""wikidata""=>""Q23499067"",""wikipedia""=>""ca:Túnels de les Glòries Catalanes""","LINESTRING (432024.662247 4583849.745509, 431963.547738 4583790.251012, 431831.395311 4583668.174506)",3,50,yes,,,,,,concrete,,yes,,yes,-4,C-31,,,,,,no,,no,,Eixample,2.1856337,41.4024825,eixample_000001,0.0,3.0,0.9035760179816447,0.9035760179816447,0.06329236595980459,146.99,0.4974
1000315688,Carrer de los Castillejos,residential,,,,,,3,"""lanes""=>""2"",""lit""=>""yes"",""maxspeed""=>""30"",""name:ca""=>""Carrer de los Castillejos"",""name:etymology:wikidata""=>""Q2888254"",""oneway""=>""yes"",""surface""=>""asphalt""","LINESTRING (431856.761752 4583656.943935, 431865.995036 4583647.608379)",2,30,yes,,,,,,asphalt,,yes,,,,,,,,,,,,,,Eixample,2.1848417,41.4015251,eixample_000002,0.0,5.0,0.0,0.0,1.0,52.94,0.4909
1000315689,Gran Via de les Corts Catalanes,residential,,,,,,3,"""lit""=>""yes"",""name:ca""=>""Gran Via de les Corts Catalanes"",""name:etymology:wikidata""=>""Q1902969"",""oneway""=>""yes""","LINESTRING (431741.648494 4583564.764109, 431759.769963 4583568.912332, 431764.656403 4583570.254144)",,,yes,,,,,,,,yes,,,,,,,,,,,,,,Eixample,2.1835569,41.4007514,eixample_000003,0.0,8.0,0.0,0.0,1.0,46.21,0.4843
1000550226,Gran Via de les Corts Catalanes,residential,,,,,,3,"""lanes""=>""2"",""lit""=>""yes"",""name:ca""=>""Gran Via de les Corts Catalanes"",""name:etymology:wikidata""=>""Q1902969"",""oneway""=>""yes"",""psv:lanes""=>""designated|yes""","LINESTRING (431764.656403 4583570.254144, 431843.114827 4583644.992465, 431845.636954 4583647.389148, 431850.004958 4583651.389477, 431856.761752 4583656.943935)",2,,yes,,,,,,,,yes,,,,,,,,,,,,,,Eixample,2.1842378,41.4011756,eixample_000004,0.0,8.0,0.27328091925751663,0.27328091925751663,0.4541994254640521,84.57,0.4859
1000633517,Gran Via de les Corts Catalanes,primary,,,,,,7,"""change:lanes""=>""no|no|no"",""lanes""=>""3"",""lit""=>""yes"",""maxspeed""=>""50"",""name:ca""=>""Gran Via de les Corts Catalanes"",""name:etymology:wikidata""=>""Q1902969"",""oneway""=>""yes"",""psv:lanes""=>""yes|yes|designated"",""ref""=>""C-31"",""surface""=>""asphalt"",""wikidata""=>""Q263293"",""wikipedia""=>""ca:Gran Via de les Corts Catalanes""","LINESTRING (431741.648494 4583564.764109, 431756.045452 4583577.318982)",3,50,yes,,,,,,asphalt,,yes,,,,C-31,,,,,,,,,,Eixample,2.1835048,41.4007838,eixample_000005,0.0,7.0,0.21158609942906928,0.21158609942906928,0.5169927216858563,47.1,0.4898
1000745150,,service,,,,,,0,"""service""=>""parking_aisle""","LINESTRING (429018.718849 4582802.333491, 429014.099208 4582806.997582, 429013.039569 4582808.073848)",,,,,,,parking_aisle,,,,,,,,,,,,,,,,,,Eixample,2.1509032,41.3936496,eixample_000006,0.0,2.0,0.05410605907477083,0.05410605907477083,0.6202583219181831,66.82,0.4996
1002019386,Carrer de Sicília,footway,,,,,,0,"""crossing""=>""traffic_signals"",""crossing:signals""=>""yes"",""footway""=>""crossing"",""name:ca""=>""Carrer de Sicília"",""surface""=>""asphalt""","LINESTRING (430968.927099 4583619.864556, 430964.26876 4583615.279063, 430960.665567 4583611.760493, 430957.821779 4583608.978577)",,,,,,,,,asphalt,,,,,,,,,,,,,,,crossing,Eixample,2.1741042,41.4011074,eixample_000007,0.0,6.0,0.0,0.0,1.0,43.46,0.5
1002163368,,corridor,,,,,,-10,"""indoor""=>""yes"",""layer""=>""-1"",""level""=>""-1""","LINESTRING (429690.129674 4580736.165711, 429689.894137 4580741.197597)",,,,,,,,,,,,,,-1,,,,,,,,,,,Eixample,2.159206,41.3750964,eixample_000008,0.0,4.0,0.17967032023208984,0.17967032023208984,0.5379211014871542,2.52,0.5
1002255132,,footway,,,,,,0,"""lit""=>""yes""","LINESTRING (431547.401426 4582672.518273, 431562.456206 4582664.215431, 431578.77537 4582655.223405)",,,,,,,,,,,yes,,,,,,,,,,,,,,Eixample,2.1813853,41.3925974,eixample_000009,0.0,2.0,1.0,1.0,0.0,0.72,0.4991
