risk_probability,risk_class,osmid,shap_Lighting_high,shap_Visibility_high,shap_Connectivity_high,shap_Enclosure_high,shap_Land Use_high,shap_Transit Proximity_high,shap_Lighting_low,shap_Visibility_low,shap_Connectivity_low,shap_Enclosure_low,shap_Land Use_low,shap_Transit Proximity_low,shap_Lighting_medium,shap_Visibility_medium,shap_Connectivity_medium,shap_Enclosure_medium,shap_Land Use_medium,shap_Transit Proximity_medium
0.9998,high,38770925,0.006266891827574894,0.0,0.4703436788453674,0.0,0.0,-0.18648564290527397,-6.756496606975283e-07,0.0,-0.009218808490092453,0.0,0.0,0.0009494053758993641,-0.006266216177914202,0.0,-0.46112487035527466,0.0,0.0,0.1855362375293749
1.0,high,1242977853,0.0031622997095618333,0.0,0.423682104119207,0.0,0.0,-0.13650957714530193,-6.539149820586343e-10,0.0,-0.00837805719370248,0.0,0.0,0.00010797908376367657,-0.003162299055646828,0.0,-0.4153040469255043,0.0,0.0,0.13640159806153815
0.9681,medium,202052944,0.004871495312277652,0.0,-0.2850050447518431,0.0,0.0,-0.3976275048151969,-5.954933391012773e-10,0.0,-0.007283840665687033,0.0,0.0,-0.0009862375025588847,-0.004871494716784233,0.0,0.29228888541752907,0.0,0.0,0.3986137423177551
1.0,high,"[6272741, 1418274918]",0.0031471712261789686,0.0,0.44246489431970176,0.0,0.0,-0.15527724603410265,-5.383306399178028e-09,0.0,-0.00902967015754225,0.0,0.0,0.0007595967769948638,-0.0031471658428724875,0.0,-0.43343522416215957,0.0,0.0,0.15451764925710706
1.0,medium,202052944,0.004712001718679304,0.0,-0.21764240369091944,0.0,0.0,-0.4967298295200291,-3.0354408215857616e-05,0.0,-0.010372864514544477,0.0,0.0,0.002133146228936862,-0.00468164731046343,0.0,0.22801526820546333,0.0,0.0,0.49459668329109124
0.9998,medium,202052944,0.00471273548473608,0.0,-0.2498402183070324,0.0,0.0,-0.4643859934159192,-4.4973021342837455e-07,0.0,-0.009149785615908974,0.0,0.0,0.0008801566716509363,-0.004712285754522677,0.0,0.2589900039229423,0.0,0.0,0.4635058367442689
0.9949,medium,7742058,0.004661720215093895,0.0,-0.17000424761304417,0.0,0.0,-0.5392413578367703,-3.8928886261129295e-06,0.0,-0.00961944804684542,0.0,0.0,0.0013532621728053005,-0.004657827326467814,0.0,0.17962369565988942,0.0,0.0,0.5378880956639641
1.0,medium,202052944,0.004712001718679304,0.0,-0.21764240369091944,0.0,0.0,-0.4967298295200291,-3.0354408215857616e-05,0.0,-0.010372864514544477,0.0,0.0,0.002133146228936862,-0.00468164731046343,0.0,0.22801526820546333,0.0,0.0,0.49459668329109124
0.9995,high,7742058,0.009226567241997136,0.0,0.11742224698611481,0.0,0.0,0.16316679645751447,-7.172665239529863e-13,0.0,-0.0041575712730349355,0.0,0.0,-0.004112507490101583,-0.00922656724127996,0.0,-0.11326467571307958,0.0,0.0,-0.15905428896741292
0.9997,high,591934082,0.009516967202864685,0.0,-0.008558560080339617,0.0,0.0,0.2890304783736504,-2.8352277123278036e-13,0.0,-0.004135035639351192,0.0,0.0,-0.0041350431242190705,-0.009516967202581092,0.0,0.012693595719690871,0.0,0.0,-0.2848954352494302
0.7359,high,"[7742056, 870987725]",0.007285177690461914,0.0,-0.20938887321839728,0.0,0.0,0.22829589760872648,-1.8561154349616693e-10,0.0,-0.004114276373820579,0.0,0.0,-0.004155802204421532,-0.00728517750485029,0.0,0.21350314959221797,0.0,0.0,-0.22414009540430382
1.0,medium,5832086,0.004712190610096756,0.0,-0.24322961508860907,0.0,0.0,-0.471105028204395,-2.1415303246177624e-06,0.0,-0.009222908463043189,0.0,0.0,0.0009549716553264357,-0.0047100490797720995,0.0,0.25245252355165143,0.0,0.0,0.4701500565490681
0.9246,medium,261114693,0.003424441194875061,0.0,0.011219356618799858,0.0,0.0,-0.6489119854201248,-0.00022039328530865532,0.0,-0.029429633831392226,0.0,0.0,0.02137994835288402,-0.0032040479095664376,0.0,0.018210277212593044,0.0,0.0,0.6275320370672417
1.0,medium,1419988575,0.004711977454000621,0.0,-0.18122746428518932,0.0,0.0,-0.5331495976645049,-0.00234214750399563,0.0,-0.051473338241501375,0.0,0.0,0.04554628273276013,-0.002369829950004801,0.0,0.2327008025266916,0.0,0.0,0.4876033149317463
1.0,medium,4957359,0.0031971702016678205,0.0,-0.31409980465991605,0.0,0.0,-0.3987624831332292,-0.00203367847790281,0.0,-0.008264038990991398,0.0,0.0,0.002029191166810367,-0.0011634917237650505,0.0,0.3223638436509078,0.0,0.0,0.3967332919664195
0.9934,medium,"[1105774248, 199515249]",0.0031414623924433116,0.0,-0.39712352758883307,0.0,0.0,-0.31568310648003883,-0.0033141651393908643,0.0,0.01046494856059105,0.0,0.0,-0.008834820514554604,0.00017270274694754228,0.0,0.386658579028242,0.0,0.0,0.32451792699459237
