osmid,lighting,visibility,connectivity,enclosure,dominant_land_use_score,public_transport_proximity_m,dist_to_rail_m,dist_to_bus_m,lighting_norm,visibility_norm,connectivity_norm,enclosure_norm,dominant_land_use_score_norm,public_transport_proximity_m_norm,risk_class,risk_probability
493086069,0,0.653,7,0.14424103189806614,0.0249,27.36,27.36,28.88,0.0,0.5764677163432199,0.4,0.20003503663603878,0.0249,0.07989569905074416,medium,0.9987
868722651,0,0.496,8,0.3151154554631531,0.3341,38.35,38.35,38.42,0.0,0.3848407176858294,0.5,0.4370055513933063,0.3341,0.11209422243056368,high,0.9362
"[1442629979, 1112040477, 1112040478, 1112040487]",0,0.8553,7,0.010552779694222286,0.5,21.33,21.33,26.79,0.0,0.823385817160991,0.4,0.014634710005663115,0.5,0.06222899332005155,low,1.0
4745980,0,0.4156,8,0.3417955890402818,0.4134,138.9,143.35,138.9,0.0,0.2867081655071403,0.5,0.47400585170540427,0.4134,0.4066858080393765,high,1.0
868722651,0,0.4265,8,0.3796396832486287,0.3641,139.59,139.74,139.59,0.0,0.30001220554131575,0.5,0.5264884544142793,0.3641,0.40870737138169455,high,1.0
4744944,0,0.5769,7,0.25355030284338137,0.493,5.49,5.49,11.23,0.0,0.48358354693030636,0.4,0.3516263260942084,0.493,0.015820930505097853,medium,1.0
"[1408598865, 237960947]",0,0.4256,8,0.3225005507547199,0.0,10.6,10.6,12.95,0.0,0.2989137068228976,0.5,0.4472472821114641,0.0,0.030792218446033044,high,1.0
237960949,0,0.4917,8,0.14126661908914434,0.0048,129.46,133.94,129.46,0.0,0.37959233492005373,0.5,0.19591008850322283,0.0048,0.37902847767490916,high,1.0
4744966,0,0.4258,8,0.2316712647197807,0.279,121.9,121.9,127.34,0.0,0.29915781764921273,0.5,0.3212842373346893,0.279,0.3568791749677721,high,1.0
"[1408598866, 542781428]",0,0.4089,8,0.2911394570646704,0.0322,113.25,118.43,113.25,0.0,0.2785304528255828,0.5,0.40375537524775984,0.0322,0.3315363881401617,high,1.0
"[1408598867, 237914526]",0,0.4094,8,0.20567805135069941,0.0,166.4,174.23,166.4,0.0,0.2791407298913707,0.5,0.2852365654610783,0.0,0.48725536153756,high,1.0
"[1409652520, 243716769]",0,0.3947,8,0.20638568245991265,0.0603,137.49,142.65,137.49,0.0,0.26119858415720737,0.5,0.28621791600324786,0.0603,0.4025547872963787,high,1.0
"[237914520, 1409649744]",1,0.3718,7,0.43913284598167734,0.0775,127.64,127.64,132.77,0.030303030303030304,0.23324789454412304,0.4,0.6089942215340635,0.0775,0.3736962381343021,high,1.0
237914527,0,0.4248,7,0.20627063521878208,0.0747,1.78,1.78,6.89,0.0,0.297937263517637,0.4,0.28605836723413836,0.0747,0.0049513652877065505,high,0.9989
86301093,0,0.3979,7,0.3465591561563798,0.0,121.41,126.15,121.41,0.0,0.26510435737824967,0.4,0.4806120185502191,0.0,0.35544357201453175,high,1.0
237914527,0,0.4284,6,0.3544699111628548,0.0,99.42,99.42,150.32,0.0,0.30233125839130964,0.3,0.49158273989570456,0.0,0.2910172272354388,high,1.0
238866888,6,0.4061,7,0.3508196254015168,0.0,122.83,139.37,122.83,0.18181818181818182,0.27511290125717075,0.4,0.48652048377903123,0.0,0.3596038907769834,high,1.0
288234925,0,0.535,7,0.32801042120204577,0.4121,100.74,101.14,100.74,0.0,0.4324423288172831,0.4,0.45488843055783373,0.4121,0.29488456580335165,high,1.0
4745969,0,0.4894,8,0.2705308922865119,0.4577,149.23,149.23,154.63,0.0,0.3767850604174295,0.5,0.3751751927839488,0.4577,0.43695066213523953,high,1.0
553586753,0,0.4019,7,0.231934833811669,0.2314,71.22,71.22,72.27,0.0,0.2699865739045526,0.4,0.3216497578267311,0.2314,0.20839681237548338,high,1.0
116315114,0,0.5052,6,0.25551151569626146,0.2637,91.97,91.97,101.16,0.0,0.39606981569632616,0.3,0.3543461574744649,0.2637,0.26919020274229455,high,1.0
237795735,0,0.442,7,0.29587929940402596,0.4547,67.5,69.75,67.5,0.0,0.31893079458073964,0.4,0.41032864031336247,0.4547,0.1974979491386382,high,1.0
237667608,0,0.5868,7,0.11125677646292301,0.1131,54.01,56.66,54.01,0.0,0.49566703283290614,0.4,0.15429211135633009,0.1131,0.15797492089534743,medium,0.9629
237795735,0,0.8271,7,0.030926411569173164,0.002,41.72,41.72,44.81,0.0,0.7889661906505553,0.4,0.0428890849563016,0.002,0.12196765498652289,medium,0.9769
